REGION,SALARY IN 2019,SALARY IN 2020,SALARY IN 2021,SALARY IN 2022,GROWTH RATE (2019-2020) %,GROWTH RATE (2020-2021) %,GROWTH RATE (2021-2022) %,GROWTH RATE AVG %
ACEH,2916810,3165031,3165031,3166460,8.510016079209821,0.0,0.04514963676501115,2.851721905324944
SUMATERA UTARA,2303403,2499423,2499423,2522609,8.510017569656721,0.0,0.9276541025668725,3.145890557407865
SUMATERA BARAT,2289220,2484041,2484041,2512539,8.510365976184028,0.0,1.1472435438867554,3.2192031733569277
RIAU,2662026,2888564,2888564,2938564,8.509984500527041,0.0,1.73096389763218,3.4136494660530734
JAMBI,2423889,2630162,2630162,2698940,8.510001901902275,0.0,2.6149720055266554,3.7083246358096438
SUMATERA SELATAN,2804453,3043111,3043111,3144446,8.509966114604167,0.0,3.3299804049211486,3.9466488398417714
BENGKULU,2040407,2213604,2215000,2238094,8.488355509464533,0.06306457704268695,1.0426185101580137,3.1980128655550772
LAMPUNG,2241270,2432002,2432001,2440486,8.509996564447835,-4.111838723816839e-05,0.3488896591736599,2.9529483684114193
KEP. BANGKA BELITUNG,2976706,3230024,3230023,3264884,8.510010729981396,-3.095952228218738e-05,1.0792802404193407,3.196420003626151
KEP. RIAU,2769754,3005460,3005460,3050172,8.509997638779474,0.0,1.487692399832305,3.3325633462039264
DKI JAKARTA,3940973,4276350,4416186,4641854,8.510005016527645,3.2699849170437405,5.110020275414124,5.630003402995169
JAWA BARAT,1668373,1810351,1810351,1841487,8.509967495278334,0.0,1.719887469336057,3.4099516548714632
JAWA TENGAH,1605396,1742015,1798979,1812935,8.509987566930526,3.270006285824175,0.7757733692277675,4.185255740660823
DI YOGYAKARTA,1570923,1704608,1765000,1840915,8.509965160609399,3.5428673337213015,4.301133144475921,5.451321879602207
JAWA TIMUR,1630059,1768777,1868777,1891567,8.50999871783782,5.653623944680421,1.219514152838996,5.127712271785746
BANTEN,2267990,2460997,2460996,2501203,8.51004634059233,-4.063393819659268e-05,1.633769416935257,3.381258374529797
BALI,2297969,2494000,2494000,2516971,8.530619864758837,0.0,0.9210505212510024,3.150556795336613
NUSA TENGGARA BARAT,2012610,2183883,2183883,2207212,8.509994484773504,0.0,1.0682348825463635,3.1927431224399556
NUSA TENGGARA TIMUR,1795000,1950000,1950000,1975000,8.635097493036211,0.0,1.282051282051282,3.305716258362498
KALIMANTAN BARAT,2211500,2399699,2399698,2434328,8.510015826362197,-4.16718930165825e-05,1.4430982565306134,3.3176908036665975
KALIMANTAN TENGAH,2663435,2903145,2903144,2922516,9.000031913675386,-3.444540317483281e-05,0.6672765801489695,3.2224246828070604
KALIMANTAN SELATAN,2651782,2877449,2877448,2906473,8.510013266550569,-3.475300517924036e-05,1.0087063258832132,3.1728949464762013
KALIMANTAN TIMUR,2747561,2981379,2981378,3014497,8.510020341677581,-3.354152558262468e-05,1.110862158371062,3.2069496528410206
KALIMANTAN UTARA,2765463,3000804,3000804,3016738,8.51000356902262,0.0,0.5309910277378995,3.01366486558684
SULAWESI UTARA,3051076,3310723,3310723,3310723,8.510014172049466,0.0,0.0,2.8366713906831555
SULAWESI TENGAH,2123040,2303711,2303711,2390739,8.51001394227146,0.0,3.777730800434603,4.095914914235355
SULAWESI SELATAN,2860382,3103800,3165876,3165876,8.509982233142287,2.0,0.0,3.503327411047429
SULAWESI TENGGARA,2351870,2552015,2552014,2576016,8.510036694205036,-3.918472266032919e-05,0.940512081830272,3.150169863770883
GORONTALO,2384020,2788826,2788826,2800580,16.97997500020973,0.0,0.42146767134270835,5.80048089051748
SULAWESI BARAT,2381000,2678863,2678863,2678863,12.509995800083997,0.0,0.0,4.169998600027999
MALUKU,2400664,2604961,2604961,2619312,8.510020560978129,0.0,0.5509103591186202,3.020310306698916
MALUKU UTARA,2508091,2721530,2721530,2862231,8.510018177171402,0.0,5.1699228007775035,4.559980325982969
PAPUA BARAT,2934500,3134600,3134600,3200000,6.818878855000852,0.0,2.086390608052064,2.968423154350972
PAPUA,3240900,3516700,3516700,3561932,8.50998179518035,0.0,1.2862058179543323,3.2653958710448943
INDONESIA,2455662,2672370,2684743,2725504,8.845099908020087,0.5235073749974999,1.4935280412688405,3.6207117747621425
